Trade,Buy Date,Sell Date,Buy Price,Sell Price,Return % (price),Shares,PnL Raw,PnL After Tax,Portfolio Value,Result
256,2021-06-10,2021-06-15,399.0,399.82,0.21,180,147.22,86.42,35924.88,WIN
257,2021-06-23,2021-06-28,399.35,403.95,1.15,180,827.99,470.5,36395.38,WIN
258,2021-07-22,2021-07-29,411.5,416.41,1.19,177,867.56,483.23,36878.61,WIN
259,2021-08-05,2021-08-16,417.46,422.38,1.18,177,869.87,484.52,37363.13,WIN
260,2021-08-20,2021-08-31,418.97,426.72,1.85,178,1382.08,769.82,38132.95,WIN
261,2021-09-14,2021-09-16,419.73,422.57,0.68,182,515.11,286.92,38419.86,WIN
262,2021-09-21,2021-09-27,411.09,419.63,2.08,187,1596.59,889.3,39309.16,WIN
263,2021-09-30,2021-10-11,406.83,412.09,1.29,193,1016.76,566.33,39875.5,WIN
264,2021-10-13,2021-10-25,412.56,431.87,4.68,193,3732.99,2079.28,41954.78,WIN
265,2021-10-27,2021-11-08,430.34,444.55,3.3,195,2770.86,1543.37,43498.14,WIN
266,2021-12-06,2021-12-08,434.94,445.11,2.34,200,2034.63,1133.29,44631.43,WIN
267,2021-12-09,2021-12-13,442.11,442.31,0.05,202,42.11,23.45,44654.89,WIN
268,2021-12-21,2021-12-31,440.53,451.85,2.57,203,2295.13,1278.39,45933.28,WIN
269,2022-01-10,2022-01-12,442.86,448.1,1.18,207,1087.37,605.67,46538.94,WIN
270,2022-01-27,2022-02-02,410.26,435.1,6.05,227,5635.53,3138.99,49677.93,WIN
271,2022-02-08,2022-02-10,429.0,427.46,-0.36,232,-356.95,-356.95,49320.99,LOSS
272,2022-02-15,2022-02-17,424.39,415.79,-2.03,232,-1998.94,-1998.94,47322.05,LOSS
273,2022-02-25,2022-02-28,416.45,415.39,-0.26,227,-242.15,-242.15,47079.9,LOSS
274,2022-03-14,2022-03-24,396.71,429.9,8.37,237,7878.15,4388.13,51468.03,WIN
275,2022-03-28,2022-04-04,435.08,435.92,0.2,237,200.94,111.92,51579.95,WIN
276,2022-04-19,2022-04-20,424.7,424.39,-0.07,243,-76.5,-76.5,51503.45,LOSS
277,2022-05-02,2022-05-04,395.54,409.45,3.52,260,3623.43,2018.25,53521.7,WIN
278,2022-05-12,2022-05-17,374.41,389.66,4.07,286,4359.87,2428.45,55950.15,WIN
279,2022-05-18,2022-05-19,373.95,371.66,-0.61,299,-685.34,-685.34,55264.81,LOSS
280,2022-05-23,2022-06-02,378.78,398.32,5.16,292,5700.25,3175.04,58439.85,WIN
